# Iteration 13196, is_converged_ 1
# Heat flux: -0.966854
0 0 1
0 0.01 1
0 0.02 1
0 0.03 1
0 0.04 1
0 0.05 1
0 0.06 1
0 0.07 1
0 0.08 1
0 0.09 1
0 0.1 1
0 0.11 1
0 0.12 1
0 0.13 1
0 0.14 1
0 0.15 1
0 0.16 1
0 0.17 1
0 0.18 1
0 0.19 1
0 0.2 1
0 0.21 1
0 0.22 1
0 0.23 1
0 0.24 1
0 0.25 1
0 0.26 1
0 0.27 1
0 0.28 1
0 0.29 1
0 0.3 1
0 0.31 1
0 0.32 1
0 0.33 1
0 0.34 1
0 0.35 1
0 0.36 1
0 0.37 1
0 0.38 1
0 0.39 1
0 0.4 1
0 0.41 1
0 0.42 1
0 0.43 1
0 0.44 1
0 0.45 1
0 0.46 1
0 0.47 1
0 0.48 1
0 0.49 1
0 0.5 1
0 0.51 1
0 0.52 1
0 0.53 1
0 0.54 1
0 0.55 1
0 0.56 1
0 0.57 1
0 0.58 1
0 0.59 1
0 0.6 1
0 0.61 1
0 0.62 1
0 0.63 1
0 0.64 1
0 0.65 1
0 0.66 1
0 0.67 1
0 0.68 1
0 0.69 1
0 0.7 1
0 0.71 1
0 0.72 1
0 0.73 1
0 0.74 1
0 0.75 1
0 0.76 1
0 0.77 1
0 0.78 1
0 0.79 1
0 0.8 1
0 0.81 1
0 0.82 1
0 0.83 1
0 0.84 1
0 0.85 1
0 0.86 1
0 0.87 1
0 0.88 1
0 0.89 1
0 0.9 1
0 0.91 1
0 0.92 1
0 0.93 1
0 0.94 1
0 0.95 1
0 0.96 1
0 0.97 1
0 0.98 1
0 0.99 1

0.01 0 0.990281
0.01 0.01 0.990281
0.01 0.02 0.990281
0.01 0.03 0.990281
0.01 0.04 0.990281
0.01 0.05 0.990281
0.01 0.06 0.99028
0.01 0.07 0.99028
0.01 0.08 0.99028
0.01 0.09 0.99028
0.01 0.1 0.99028
0.01 0.11 0.99028
0.01 0.12 0.99028
0.01 0.13 0.99028
0.01 0.14 0.990279
0.01 0.15 0.990279
0.01 0.16 0.990279
0.01 0.17 0.990279
0.01 0.18 0.990279
0.01 0.19 0.990279
0.01 0.2 0.990278
0.01 0.21 0.990278
0.01 0.22 0.990278
0.01 0.23 0.990278
0.01 0.24 0.990278
0.01 0.25 0.990277
0.01 0.26 0.990277
0.01 0.27 0.990277
0.01 0.28 0.990277
0.01 0.29 0.990277
0.01 0.3 0.990277
0.01 0.31 0.990277
0.01 0.32 0.990276
0.01 0.33 0.990276
0.01 0.34 0.990276
0.01 0.35 0.990276
0.01 0.36 0.990276
0.01 0.37 0.990276
0.01 0.38 0.990276
0.01 0.39 0.990276
0.01 0.4 0.990276
0.01 0.41 0.990276
0.01 0.42 0.990276
0.01 0.43 0.990276
0.01 0.44 0.990276
0.01 0.45 0.990276
0.01 0.46 0.990276
0.01 0.47 0.990276
0.01 0.48 0.990276
0.01 0.49 0.990276
0.01 0.5 0.990277
0.01 0.51 0.990277
0.01 0.52 0.990277
0.01 0.53 0.990277
0.01 0.54 0.990278
0.01 0.55 0.990278
0.01 0.56 0.990278
0.01 0.57 0.990279
0.01 0.58 0.990279
0.01 0.59 0.990279
0.01 0.6 0.99028
0.01 0.61 0.99028
0.01 0.62 0.990281
0.01 0.63 0.990281
0.01 0.64 0.990282
0.01 0.65 0.990282
0.01 0.66 0.990283
0.01 0.67 0.990284
0.01 0.68 0.990284
