# Iteration 27422, is_converged_ 1
# Heat flux: -0.378206
0 0 1
0 0.01 1
0 0.02 1
0 0.03 1
0 0.04 1
0 0.05 1
0 0.06 1
0 0.07 1
0 0.08 1
0 0.09 1
0 0.1 1
0 0.11 1
0 0.12 1
0 0.13 1
0 0.14 1
0 0.15 1
0 0.16 1
0 0.17 1
0 0.18 1
0 0.19 1
0 0.2 1
0 0.21 1
0 0.22 1
0 0.23 1
0 0.24 1
0 0.25 1
0 0.26 1
0 0.27 1
0 0.28 1
0 0.29 1
0 0.3 1
0 0.31 1
0 0.32 1
0 0.33 1
0 0.34 1
0 0.35 1
0 0.36 1
0 0.37 1
0 0.38 1
0 0.39 1
0 0.4 1
0 0.41 1
0 0.42 1
0 0.43 1
0 0.44 1
0 0.45 1
0 0.46 1
0 0.47 1
0 0.48 1
0 0.49 1
0 0.5 1
0 0.51 1
0 0.52 1
0 0.53 1
0 0.54 1
0 0.55 1
0 0.56 1
0 0.57 1
0 0.58 1
0 0.59 1
0 0.6 1
0 0.61 1
0 0.62 1
0 0.63 1
0 0.64 1
0 0.65 1
0 0.66 1
0 0.67 1
0 0.68 1
0 0.69 1
0 0.7 1
0 0.71 1
0 0.72 1
0 0.73 1
0 0.74 1
0 0.75 1
0 0.76 1
0 0.77 1
0 0.78 1
0 0.79 1
0 0.8 1
0 0.81 1
0 0.82 1
0 0.83 1
0 0.84 1
0 0.85 1
0 0.86 1
0 0.87 1
0 0.88 1
0 0.89 1
0 0.9 1
0 0.91 1
0 0.92 1
0 0.93 1
0 0.94 1
0 0.95 1
0 0.96 1
0 0.97 1
0 0.98 1
0 0.99 1

0.01 0 0.998642
0.01 0.01 0.998642
0.01 0.02 0.998641
0.01 0.03 0.998638
0.01 0.04 0.998633
0.01 0.05 0.998627
0.01 0.06 0.99862
0.01 0.07 0.998611
0.01 0.08 0.998601
0.01 0.09 0.998589
0.01 0.1 0.998576
0.01 0.11 0.998561
0.01 0.12 0.998545
0.01 0.13 0.998527
0.01 0.14 0.998508
0.01 0.15 0.998487
0.01 0.16 0.998465
0.01 0.17 0.998441
0.01 0.18 0.998415
0.01 0.19 0.998387
0.01 0.2 0.998358
0.01 0.21 0.998328
0.01 0.22 0.998295
0.01 0.23 0.998261
0.01 0.24 0.998225
0.01 0.25 0.998187
0.01 0.26 0.998148
0.01 0.27 0.998107
0.01 0.28 0.998063
0.01 0.29 0.998018
0.01 0.3 0.997971
0.01 0.31 0.997922
0.01 0.32 0.997871
0.01 0.33 0.997818
0.01 0.34 0.997764
0.01 0.35 0.997707
0.01 0.36 0.997648
0.01 0.37 0.997586
0.01 0.38 0.997523
0.01 0.39 0.997458
0.01 0.4 0.99739
0.01 0.41 0.997321
0.01 0.42 0.997249
0.01 0.43 0.997175
0.01 0.44 0.997099
0.01 0.45 0.99702
0.01 0.46 0.99694
0.01 0.47 0.996857
0.01 0.48 0.996772
0.01 0.49 0.996685
0.01 0.5 0.996596
0.01 0.51 0.996505
0.01 0.52 0.996412
0.01 0.53 0.996317
0.01 0.54 0.99622
0.01 0.55 0.996121
0.01 0.56 0.996021
0.01 0.57 0.995918
0.01 0.58 0.995814
0.01 0.59 0.995709
0.01 0.6 0.995602
0.01 0.61 0.995494
0.01 0.62 0.995385
0.01 0.63 0.995276
0.01 0.64 0.995165
0.01 0.65 0.995054
0.01 0.66 0.994942
0.01 0.67 0.99483
0.01 0.68 0.994718
