# Iteration 26594, is_converged_ 1
# Heat flux: -0.45245
0 0 1
0 0.01 1
0 0.02 1
0 0.03 1
0 0.04 1
0 0.05 1
0 0.06 1
0 0.07 1
0 0.08 1
0 0.09 1
0 0.1 1
0 0.11 1
0 0.12 1
0 0.13 1
0 0.14 1
0 0.15 1
0 0.16 1
0 0.17 1
0 0.18 1
0 0.19 1
0 0.2 1
0 0.21 1
0 0.22 1
0 0.23 1
0 0.24 1
0 0.25 1
0 0.26 1
0 0.27 1
0 0.28 1
0 0.29 1
0 0.3 1
0 0.31 1
0 0.32 1
0 0.33 1
0 0.34 1
0 0.35 1
0 0.36 1
0 0.37 1
0 0.38 1
0 0.39 1
0 0.4 1
0 0.41 1
0 0.42 1
0 0.43 1
0 0.44 1
0 0.45 1
0 0.46 1
0 0.47 1
0 0.48 1
0 0.49 1
0 0.5 1
0 0.51 1
0 0.52 1
0 0.53 1
0 0.54 1
0 0.55 1
0 0.56 1
0 0.57 1
0 0.58 1
0 0.59 1
0 0.6 1
0 0.61 1
0 0.62 1
0 0.63 1
0 0.64 1
0 0.65 1
0 0.66 1
0 0.67 1
0 0.68 1
0 0.69 1
0 0.7 1
0 0.71 1
0 0.72 1
0 0.73 1
0 0.74 1
0 0.75 1
0 0.76 1
0 0.77 1
0 0.78 1
0 0.79 1
0 0.8 1
0 0.81 1
0 0.82 1
0 0.83 1
0 0.84 1
0 0.85 1
0 0.86 1
0 0.87 1
0 0.88 1
0 0.89 1
0 0.9 1
0 0.91 1
0 0.92 1
0 0.93 1
0 0.94 1
0 0.95 1
0 0.96 1
0 0.97 1
0 0.98 1
0 0.99 1

0.01 0 0.998264
0.01 0.01 0.998264
0.01 0.02 0.998263
0.01 0.03 0.998259
0.01 0.04 0.998253
0.01 0.05 0.998246
0.01 0.06 0.998237
0.01 0.07 0.998226
0.01 0.08 0.998213
0.01 0.09 0.998198
0.01 0.1 0.998181
0.01 0.11 0.998163
0.01 0.12 0.998142
0.01 0.13 0.99812
0.01 0.14 0.998095
0.01 0.15 0.998069
0.01 0.16 0.998041
0.01 0.17 0.99801
0.01 0.18 0.997978
0.01 0.19 0.997944
0.01 0.2 0.997907
0.01 0.21 0.997869
0.01 0.22 0.997828
0.01 0.23 0.997785
0.01 0.24 0.99774
0.01 0.25 0.997693
0.01 0.26 0.997644
0.01 0.27 0.997592
0.01 0.28 0.997538
0.01 0.29 0.997482
0.01 0.3 0.997424
0.01 0.31 0.997363
0.01 0.32 0.9973
0.01 0.33 0.997235
0.01 0.34 0.997167
0.01 0.35 0.997097
0.01 0.36 0.997025
0.01 0.37 0.99695
0.01 0.38 0.996873
0.01 0.39 0.996793
0.01 0.4 0.996711
0.01 0.41 0.996627
0.01 0.42 0.996541
0.01 0.43 0.996452
0.01 0.44 0.99636
0.01 0.45 0.996267
0.01 0.46 0.996171
0.01 0.47 0.996073
0.01 0.48 0.995973
0.01 0.49 0.995871
0.01 0.5 0.995767
0.01 0.51 0.995661
0.01 0.52 0.995553
0.01 0.53 0.995444
0.01 0.54 0.995333
0.01 0.55 0.995221
0.01 0.56 0.995107
0.01 0.57 0.994992
0.01 0.58 0.994876
0.01 0.59 0.994759
0.01 0.6 0.994642
0.01 0.61 0.994524
0.01 0.62 0.994406
0.01 0.63 0.994288
0.01 0.64 0.99417
0.01 0.65 0.994052
0.01 0.66 0.993935
0.01 0.67 0.993818
0.01 0.68 0.993703
